league,week,day,date,time,home,home_xg,score,away_xg,away,attendance,venue,referee,match_report,home_link,away_link,match_link,report_link
EPL,31,Sat,2019-03-16,15:00 (23:00),West Ham,2.3,4–3,1.4,Huddersfield,"59,931",London Stadium,Jonathan Moss,Match Report,https://fbref.com/en/squads/7c21e445/2018-2019/West-Ham-United-Stats,https://fbref.com/en/squads/f5922ca5/2018-2019/Huddersfield-Town-Stats,https://fbref.com/en/matches/879fa3c2/West-Ham-United-Huddersfield-Town-March-16-2019-Premier-League,https://fbref.com/en/matches/879fa3c2/West-Ham-United-Huddersfield-Town-March-16-2019-Premier-League
EPL,31,Sat,2019-03-16,15:00 (23:00),Bournemouth,1.5,2–2,1.2,Newcastle Utd,"10,625",Vitality Stadium,Mike Dean,Match Report,https://fbref.com/en/squads/4ba7cbea/2018-2019/Bournemouth-Stats,https://fbref.com/en/squads/b2b47a98/2018-2019/Newcastle-United-Stats,https://fbref.com/en/matches/a27275d9/Bournemouth-Newcastle-United-March-16-2019-Premier-League,https://fbref.com/en/matches/a27275d9/Bournemouth-Newcastle-United-March-16-2019-Premier-League
EPL,31,Sun,2019-03-17,14:15 (22:15),Fulham,1.1,1–2,2.5,Liverpool,"25,043",Craven Cottage,Craig Pawson,Match Report,https://fbref.com/en/squads/fd962109/2018-2019/Fulham-Stats,https://fbref.com/en/squads/822bd0ba/2018-2019/Liverpool-Stats,https://fbref.com/en/matches/d8db9418/Fulham-Liverpool-March-17-2019-Premier-League,https://fbref.com/en/matches/d8db9418/Fulham-Liverpool-March-17-2019-Premier-League
EPL,31,Sun,2019-03-17,16:30 (00:30),Everton,2.1,2–0,1.2,Chelsea,"39,356",Goodison Park,Anthony Taylor,Match Report,https://fbref.com/en/squads/d3fd31cc/2018-2019/Everton-Stats,https://fbref.com/en/squads/cff3d9bb/2018-2019/Chelsea-Stats,https://fbref.com/en/matches/537717fa/Everton-Chelsea-March-17-2019-Premier-League,https://fbref.com/en/matches/537717fa/Everton-Chelsea-March-17-2019-Premier-League
EPL,32,Sat,2019-03-30,12:30 (20:30),Fulham,0.3,0–2,2.7,Manchester City,"25,001",Craven Cottage,Kevin Friend,Match Report,https://fbref.com/en/squads/fd962109/2018-2019/Fulham-Stats,https://fbref.com/en/squads/b8fd03ef/2018-2019/Manchester-City-Stats,https://fbref.com/en/matches/b5d358d9/Fulham-Manchester-City-March-30-2019-Premier-League,https://fbref.com/en/matches/b5d358d9/Fulham-Manchester-City-March-30-2019-Premier-League
EPL,32,Sat,2019-03-30,15:00 (23:00),Manchester Utd,1.3,2–1,1.3,Watford,"74,543",Old Trafford,Stuart Attwell,Match Report,https://fbref.com/en/squads/19538871/2018-2019/Manchester-United-Stats,https://fbref.com/en/squads/2abfe087/2018-2019/Watford-Stats,https://fbref.com/en/matches/e1e4e2be/Manchester-United-Watford-March-30-2019-Premier-League,https://fbref.com/en/matches/e1e4e2be/Manchester-United-Watford-March-30-2019-Premier-League
EPL,32,Sat,2019-03-30,15:00 (23:00),Burnley,0.2,2–0,0.5,Wolves,"20,990",Turf Moor,Chris Kavanagh,Match Report,https://fbref.com/en/squads/943e8050/2018-2019/Burnley-Stats,https://fbref.com/en/squads/8cec06e1/2018-2019/Wolverhampton-Wanderers-Stats,https://fbref.com/en/matches/1b9e6483/Burnley-Wolverhampton-Wanderers-March-30-2019-Premier-League,https://fbref.com/en/matches/1b9e6483/Burnley-Wolverhampton-Wanderers-March-30-2019-Premier-League
EPL,32,Sat,2019-03-30,15:00 (23:00),Brighton,0.9,0–1,0.7,Southampton,"30,636",The American Express Community Stadium,Michael Oliver,Match Report,https://fbref.com/en/squads/d07537b9/2018-2019/Brighton-and-Hove-Albion-Stats,https://fbref.com/en/squads/33c895d4/2018-2019/Southampton-Stats,https://fbref.com/en/matches/b3ee7e21/Brighton-and-Hove-Albion-Southampton-March-30-2019-Premier-League,https://fbref.com/en/matches/b3ee7e21/Brighton-and-Hove-Albion-Southampton-March-30-2019-Premier-League
EPL,32,Sat,2019-03-30,15:00 (23:00),Crystal Palace,3.2,2–0,0.5,Huddersfield,"25,193",Selhurst Park,Lee Probert,Match Report,https://fbref.com/en/squads/47c64c55/2018-2019/Crystal-Palace-Stats,https://fbref.com/en/squads/f5922ca5/2018-2019/Huddersfield-Town-Stats,https://fbref.com/en/matches/9de9e8e3/Crystal-Palace-Huddersfield-Town-March-30-2019-Premier-League,https://fbref.com/en/matches/9de9e8e3/Crystal-Palace-Huddersfield-Town-March-30-2019-Premier-League
EPL,32,Sat,2019-03-30,15:00 (23:00),Leicester City,1.6,2–0,0.5,Bournemouth,"31,530",King Power Stadium,Lee Mason,Match Report,https://fbref.com/en/squads/a2d435b3/2018-2019/Leicester-City-Stats,https://fbref.com/en/squads/4ba7cbea/2018-2019/Bournemouth-Stats,https://fbref.com/en/matches/a89c7915/Leicester-City-Bournemouth-March-30-2019-Premier-League,https://fbref.com/en/matches/a89c7915/Leicester-City-Bournemouth-March-30-2019-Premier-League
EPL,32,Sat,2019-03-30,17:30 (01:30),West Ham,0.1,0–2,2.0,Everton,"59,988",London Stadium,Paul Tierney,Match Report,https://fbref.com/en/squads/7c21e445/2018-2019/West-Ham-United-Stats,https://fbref.com/en/squads/d3fd31cc/2018-2019/Everton-Stats,https://fbref.com/en/matches/7971b1a6/West-Ham-United-Everton-March-30-2019-Premier-League,https://fbref.com/en/matches/7971b1a6/West-Ham-United-Everton-March-30-2019-Premier-League
EPL,32,Sun,2019-03-31,14:05 (21:05),Cardiff City,0.4,1–2,1.5,Chelsea,"32,657",Cardiff City Stadium,Craig Pawson,Match Report,https://fbref.com/en/squads/75fae011/2018-2019/Cardiff-City-Stats,https://fbref.com/en/squads/cff3d9bb/2018-2019/Chelsea-Stats,https://fbref.com/en/matches/2aac7103/Cardiff-City-Chelsea-March-31-2019-Premier-League,https://fbref.com/en/matches/2aac7103/Cardiff-City-Chelsea-March-31-2019-Premier-League
EPL,32,Sun,2019-03-31,16:30 (23:30),Liverpool,0.9,2–1,1.4,Tottenham,"53,322",Anfield,Martin Atkinson,Match Report,https://fbref.com/en/squads/822bd0ba/2018-2019/Liverpool-Stats,https://fbref.com/en/squads/361ca564/2018-2019/Tottenham-Hotspur-Stats,https://fbref.com/en/matches/ea0b32eb/Liverpool-Tottenham-Hotspur-March-31-2019-Premier-League,https://fbref.com/en/matches/ea0b32eb/Liverpool-Tottenham-Hotspur-March-31-2019-Premier-League
