time,week,day,date,home,home_xg,score,away_xg,away,attendance,venue,referee,home_link,away_link,match_link,report_link
15:00 (23:00),26,Sat,2017-02-25,West Brom,2–1,Bournemouth,"24,162",The Hawthorns,Mark Clattenburg,Match Report,,https://fbref.com/en/squads/60c6b05f/2016-2017/West-Bromwich-Albion-Stats,https://fbref.com/en/squads/4ba7cbea/2016-2017/Bournemouth-Stats,https://fbref.com/en/matches/9ad39c39/West-Bromwich-Albion-Bournemouth-February-25-2017-Premier-League,https://fbref.com/en/matches/9ad39c39/West-Bromwich-Albion-Bournemouth-February-25-2017-Premier-League
15:00 (23:00),26,Sat,2017-02-25,Chelsea,3–1,Swansea City,"41,612",Stamford Bridge,Niel Swarbrick,Match Report,,https://fbref.com/en/squads/cff3d9bb/2016-2017/Chelsea-Stats,https://fbref.com/en/squads/fb10988f/2016-2017/Swansea-City-Stats,https://fbref.com/en/matches/1560b386/Chelsea-Swansea-City-February-25-2017-Premier-League,https://fbref.com/en/matches/1560b386/Chelsea-Swansea-City-February-25-2017-Premier-League
15:00 (23:00),26,Sat,2017-02-25,Crystal Palace,1–0,Middlesbrough,"25,416",Selhurst Park,Robert Madley,Match Report,,https://fbref.com/en/squads/47c64c55/2016-2017/Crystal-Palace-Stats,https://fbref.com/en/squads/7f59c601/2016-2017/Middlesbrough-Stats,https://fbref.com/en/matches/a9746a6f/Crystal-Palace-Middlesbrough-February-25-2017-Premier-League,https://fbref.com/en/matches/a9746a6f/Crystal-Palace-Middlesbrough-February-25-2017-Premier-League
15:00 (23:00),26,Sat,2017-02-25,Everton,2–0,Sunderland,"39,595",Goodison Park,Stuart Attwell,Match Report,,https://fbref.com/en/squads/d3fd31cc/2016-2017/Everton-Stats,https://fbref.com/en/squads/8ef52968/2016-2017/Sunderland-Stats,https://fbref.com/en/matches/d28fd5fd/Everton-Sunderland-February-25-2017-Premier-League,https://fbref.com/en/matches/d28fd5fd/Everton-Sunderland-February-25-2017-Premier-League
17:30 (01:30),26,Sat,2017-02-25,Watford,1–1,West Ham,"20,702",Vicarage Road Stadium,Craig Pawson,Match Report,,https://fbref.com/en/squads/2abfe087/2016-2017/Watford-Stats,https://fbref.com/en/squads/7c21e445/2016-2017/West-Ham-United-Stats,https://fbref.com/en/matches/1caae702/Watford-West-Ham-United-February-25-2017-Premier-League,https://fbref.com/en/matches/1caae702/Watford-West-Ham-United-February-25-2017-Premier-League
13:30 (21:30),26,Sun,2017-02-26,Tottenham,4–0,Stoke City,"31,864",White Hart Lane,Jonathan Moss,Match Report,,https://fbref.com/en/squads/361ca564/2016-2017/Tottenham-Hotspur-Stats,https://fbref.com/en/squads/17892952/2016-2017/Stoke-City-Stats,https://fbref.com/en/matches/f30bab22/Tottenham-Hotspur-Stoke-City-February-26-2017-Premier-League,https://fbref.com/en/matches/f30bab22/Tottenham-Hotspur-Stoke-City-February-26-2017-Premier-League
20:00 (04:00),26,Mon,2017-02-27,Leicester City,3–1,Liverpool,"32,034",King Power Stadium,Michael Oliver,Match Report,,https://fbref.com/en/squads/a2d435b3/2016-2017/Leicester-City-Stats,https://fbref.com/en/squads/822bd0ba/2016-2017/Liverpool-Stats,https://fbref.com/en/matches/c732ae0e/Leicester-City-Liverpool-February-27-2017-Premier-League,https://fbref.com/en/matches/c732ae0e/Leicester-City-Liverpool-February-27-2017-Premier-League
12:30 (20:30),27,Sat,2017-03-04,Manchester Utd,1–1,Bournemouth,"75,245",Old Trafford,Kevin Friend,Match Report,,https://fbref.com/en/squads/19538871/2016-2017/Manchester-United-Stats,https://fbref.com/en/squads/4ba7cbea/2016-2017/Bournemouth-Stats,https://fbref.com/en/matches/11c30a9e/Manchester-United-Bournemouth-March-4-2017-Premier-League,https://fbref.com/en/matches/11c30a9e/Manchester-United-Bournemouth-March-4-2017-Premier-League
15:00 (23:00),27,Sat,2017-03-04,Stoke City,2–0,Middlesbrough,"27,644",Bet365 Stadium,Craig Pawson,Match Report,,https://fbref.com/en/squads/17892952/2016-2017/Stoke-City-Stats,https://fbref.com/en/squads/7f59c601/2016-2017/Middlesbrough-Stats,https://fbref.com/en/matches/989477be/Stoke-City-Middlesbrough-March-4-2017-Premier-League,https://fbref.com/en/matches/989477be/Stoke-City-Middlesbrough-March-4-2017-Premier-League
15:00 (23:00),27,Sat,2017-03-04,Leicester City,3–1,Hull City,"31,971",King Power Stadium,Mike Dean,Match Report,,https://fbref.com/en/squads/a2d435b3/2016-2017/Leicester-City-Stats,https://fbref.com/en/squads/bd8769d1/2016-2017/Hull-City-Stats,https://fbref.com/en/matches/b02df7fd/Leicester-City-Hull-City-March-4-2017-Premier-League,https://fbref.com/en/matches/b02df7fd/Leicester-City-Hull-City-March-4-2017-Premier-League
