league,week,day,date,time,home,home_xg,score,away_xg,away,attendance,venue,referee,match_report,home_link,away_link,match_link,report_link
ISA,33,Mon,2021-04-26,20:45 (02:45),Lazio,1.9,3–0,1.5,Milan,,Stadio Olimpico,Daniele Orsato,Match Report,https://fbref.com/en/squads/7213da33/2020-2021/Lazio-Stats,https://fbref.com/en/squads/dc56fe14/2020-2021/Milan-Stats,https://fbref.com/en/matches/f4eeb9e2/Lazio-Milan-April-26-2021-Serie-A,https://fbref.com/en/matches/f4eeb9e2/Lazio-Milan-April-26-2021-Serie-A
ISA,34,Sat,2021-05-01,15:00 (21:00),Hellas Verona,1.3,1–1,0.8,Spezia,,Stadio Marc'Antonio Bentegodi,Manuel Volpi,Match Report,https://fbref.com/en/squads/0e72edf2/2020-2021/Hellas-Verona-Stats,https://fbref.com/en/squads/68449f6d/2020-2021/Spezia-Stats,https://fbref.com/en/matches/bfd0dbc7/Hellas-Verona-Spezia-May-1-2021-Serie-A,https://fbref.com/en/matches/bfd0dbc7/Hellas-Verona-Spezia-May-1-2021-Serie-A
ISA,34,Sat,2021-05-01,18:00 (00:00),Crotone,0.5,0–2,2.0,Inter,,Stadio Ezio Scida,Alessandro Prontera,Match Report,https://fbref.com/en/squads/3074d7b1/2020-2021/Crotone-Stats,https://fbref.com/en/squads/d609edc0/2020-2021/Internazionale-Stats,https://fbref.com/en/matches/c5109aaf/Crotone-Internazionale-May-1-2021-Serie-A,https://fbref.com/en/matches/c5109aaf/Crotone-Internazionale-May-1-2021-Serie-A
ISA,34,Sat,2021-05-01,20:45 (02:45),Milan,2.9,2–0,0.8,Benevento,,Stadio Giuseppe Meazza,Giampaolo Calvarese,Match Report,https://fbref.com/en/squads/dc56fe14/2020-2021/Milan-Stats,https://fbref.com/en/squads/4fcb34fd/2020-2021/Benevento-Stats,https://fbref.com/en/matches/fcac8b3f/Milan-Benevento-May-1-2021-Serie-A,https://fbref.com/en/matches/fcac8b3f/Milan-Benevento-May-1-2021-Serie-A
ISA,34,Sun,2021-05-02,12:30 (18:30),Lazio,2.9,4–3,1.4,Genoa,,Stadio Olimpico,Piero Giacomelli,Match Report,https://fbref.com/en/squads/7213da33/2020-2021/Lazio-Stats,https://fbref.com/en/squads/658bf2de/2020-2021/Genoa-Stats,https://fbref.com/en/matches/c96763e8/Lazio-Genoa-May-2-2021-Serie-A,https://fbref.com/en/matches/c96763e8/Lazio-Genoa-May-2-2021-Serie-A
ISA,34,Sun,2021-05-02,15:00 (21:00),Napoli,2.1,1–1,1.4,Cagliari,,Stadio San Paolo,Michael Fabbri,Match Report,https://fbref.com/en/squads/d48ad4ff/2020-2021/Napoli-Stats,https://fbref.com/en/squads/c4260e09/2020-2021/Cagliari-Stats,https://fbref.com/en/matches/3c83d756/Napoli-Cagliari-May-2-2021-Serie-A,https://fbref.com/en/matches/3c83d756/Napoli-Cagliari-May-2-2021-Serie-A
ISA,34,Sun,2021-05-02,15:00 (21:00),Sassuolo,1.3,1–1,1.5,Atalanta,,Stadio Città del Tricolore,Luca Pairetto,Match Report,https://fbref.com/en/squads/e2befd26/2020-2021/Sassuolo-Stats,https://fbref.com/en/squads/922493f3/2020-2021/Atalanta-Stats,https://fbref.com/en/matches/f4ecba60/Sassuolo-Atalanta-May-2-2021-Serie-A,https://fbref.com/en/matches/f4ecba60/Sassuolo-Atalanta-May-2-2021-Serie-A
ISA,34,Sun,2021-05-02,15:00 (21:00),Bologna,1.9,3–3,2.1,Fiorentina,,Stadio Renato Dall'Ara,Federico Dionisi,Match Report,https://fbref.com/en/squads/1d8099f8/2020-2021/Bologna-Stats,https://fbref.com/en/squads/421387cf/2020-2021/Fiorentina-Stats,https://fbref.com/en/matches/8ecfe8f3/Bologna-Fiorentina-May-2-2021-Serie-A,https://fbref.com/en/matches/8ecfe8f3/Bologna-Fiorentina-May-2-2021-Serie-A
ISA,34,Sun,2021-05-02,18:00 (00:00),Udinese,0.4,1–2,1.8,Juventus,,Dacia Arena,Daniele Chiffi,Match Report,https://fbref.com/en/squads/04eea015/2020-2021/Udinese-Stats,https://fbref.com/en/squads/e0652b02/2020-2021/Juventus-Stats,https://fbref.com/en/matches/674a4f75/Udinese-Juventus-May-2-2021-Serie-A,https://fbref.com/en/matches/674a4f75/Udinese-Juventus-May-2-2021-Serie-A
ISA,34,Sun,2021-05-02,20:45 (02:45),Sampdoria,1.4,2–0,1.5,Roma,,Stadio Comunale Luigi Ferraris,Juan Sacchi,Match Report,https://fbref.com/en/squads/8ff9e3b3/2020-2021/Sampdoria-Stats,https://fbref.com/en/squads/cf74a709/2020-2021/Roma-Stats,https://fbref.com/en/matches/2205a4f9/Sampdoria-Roma-May-2-2021-Serie-A,https://fbref.com/en/matches/2205a4f9/Sampdoria-Roma-May-2-2021-Serie-A
